video_name,frame,object_id,iou
video_01_static_short,0,3,0.9308755760368663
video_01_static_short,0,1,0.965300727032386
video_01_static_short,0,5,0.12244897959183673
video_01_static_short,0,2,0.8761682242990654
video_01_static_short,1,3,0.9340490797546013
video_01_static_short,1,1,0.962320773591197
video_01_static_short,1,5,0.15517241379310345
video_01_static_short,1,2,0.9203539823008849
video_01_static_short,2,3,0.9440124416796267
video_01_static_short,2,1,0.9624664879356568
video_01_static_short,2,5,0.21951219512195122
video_01_static_short,2,2,0.9369747899159664
video_01_static_short,3,3,0.9375
video_01_static_short,3,1,0.9523169912693082
video_01_static_short,3,5,0.21052631578947367
video_01_static_short,3,2,0.91015625
video_01_static_short,4,3,0.9510268562401264
video_01_static_short,4,1,0.9635873229939312
video_01_static_short,4,5,0.21818181818181817
video_01_static_short,4,2,0.9106145251396648
video_01_static_short,5,3,0.9152276295133438
video_01_static_short,5,1,0.9644549763033176
video_01_static_short,5,5,0.23214285714285715
video_01_static_short,5,2,0.9163701067615658
video_01_static_short,6,3,0.9492063492063492
video_01_static_short,6,1,0.960054163845633
video_01_static_short,6,5,0.23809523809523808
video_01_static_short,6,2,0.9415807560137457
video_01_static_short,7,3,0.944
video_01_static_short,7,1,0.9720232002729444
video_01_static_short,7,5,0.22535211267605634
video_01_static_short,7,2,0.9313099041533547
video_01_static_short,8,3,0.9198717948717948
video_01_static_short,8,1,0.9611716621253406
video_01_static_short,8,5,0.2077922077922078
video_01_static_short,8,2,0.9358372456964006
video_01_static_short,9,3,0.9545454545454546
video_01_static_short,9,1,0.9637234770704997
video_01_static_short,9,5,0.1794871794871795
video_01_static_short,9,2,0.9487577639751553
video_01_static_short,10,3,0.9506578947368421
video_01_static_short,10,1,0.9647668393782384
video_01_static_short,10,5,0.26666666666666666
video_01_static_short,10,2,0.9274924471299094
video_01_static_short,11,3,0.9415692821368948
video_01_static_short,11,1,0.9614192214950051
video_01_static_short,11,5,0.2
video_01_static_short,11,2,0.9165424739195231
video_01_static_short,12,3,0.9305785123966942
video_01_static_short,12,1,0.9592963090720938
video_01_static_short,12,5,0.2833333333333333
video_01_static_short,12,2,0.9354354354354354
video_01_static_short,13,3,0.9532554257095158
video_01_static_short,13,1,0.9670138888888888
video_01_static_short,13,5,0.3389830508474576
video_01_static_short,13,2,0.9331352154531947
video_01_static_short,14,3,0.954468802698145
video_01_static_short,14,1,0.9695910520796924
video_01_static_short,14,5,0.23076923076923078
video_01_static_short,14,2,0.9329446064139941
video_01_static_short,15,3,0.9382504288164666
video_01_static_short,15,1,0.9612159329140462
video_01_static_short,15,5,0.35
video_01_static_short,15,2,0.912981455064194
video_01_static_short,16,3,0.9430051813471503
video_01_static_short,16,1,0.9573426573426573
video_01_static_short,16,5,0.35
video_01_static_short,16,2,0.9224137931034483
video_01_static_short,17,3,0.9458041958041958
video_01_static_short,17,1,0.9627285513361463
video_01_static_short,17,5,0.36585365853658536
video_01_static_short,17,2,0.9232954545454546
video_01_static_short,18,3,0.9370629370629371
video_01_static_short,18,1,0.9722321110715557
video_01_static_short,18,5,0.4262295081967213
video_01_static_short,18,2,0.921015514809591
video_01_static_short,19,3,0.9594356261022927
video_01_static_short,19,1,0.9742489270386266
video_01_static_short,19,5,0.3617021276595745
video_01_static_short,19,2,0.9136490250696379
video_01_static_short,20,3,0.9642857142857143
video_01_static_short,20,1,0.9576605669178327
video_01_static_short,20,5,0.3877551020408163
video_01_static_short,20,2,0.9286713286713286
video_01_static_short,21,3,0.9638989169675091
video_01_static_short,21,1,0.9607490097227224
video_01_static_short,21,5,0.39705882352941174
video_01_static_short,21,2,0.9206128133704735
video_01_static_short,22,3,0.9690909090909091
video_01_static_short,22,1,0.9748382458662832
video_01_static_short,22,5,0.3559322033898305
video_01_static_short,22,2,0.9239280774550485
video_01_static_short,23,3,0.9595588235294118
video_01_static_short,23,1,0.9536399855124955
video_01_static_short,23,5,0.42857142857142855
video_01_static_short,23,2,0.922971114167813
video_01_static_short,24,3,0.9534450651769087
video_01_static_short,24,1,0.9545454545454546
video_01_static_short,24,5,0.48
video_01_static_short,24,2,0.9262295081967213
video_01_static_short,25,3,0.9531835205992509
video_01_static_short,25,1,0.9569028487947406
video_01_static_short,25,5,0.4339622641509434
video_01_static_short,25,2,0.9260273972602739
video_01_static_short,26,3,0.9512195121951219
video_01_static_short,26,1,0.9776228906823184
video_01_static_short,26,5,0.41379310344827586
video_01_static_short,26,2,0.9233926128590971
video_01_static_short,27,3,0.9579349904397706
video_01_static_short,27,1,0.9779005524861878
video_01_static_short,27,5,0.45454545454545453
video_01_static_short,27,2,0.9275956284153005
video_01_static_short,28,3,0.9521988527724665
video_01_static_short,28,1,0.9562638991845812
video_01_static_short,28,5,0.49122807017543857
video_01_static_short,28,2,0.9227642276422764
video_01_static_short,29,3,0.9655172413793104
video_01_static_short,29,1,0.9813571961222968
video_01_static_short,29,5,0.4915254237288136
video_01_static_short,29,2,0.9305177111716622
video_01_static_short,30,3,0.9685658153241651
video_01_static_short,30,1,0.9759849906191369
video_01_static_short,30,5,0.5283018867924528
video_01_static_short,30,2,0.9355281207133059
video_01_static_short,31,3,0.9529411764705882
video_01_static_short,31,1,0.9695831768681937
video_01_static_short,31,5,0.5081967213114754
video_01_static_short,31,2,0.9202702702702703
video_01_static_short,32,3,0.9544554455445544
video_01_static_short,32,1,0.9603886397608371
video_01_static_short,32,5,0.43283582089552236
video_01_static_short,32,2,0.926530612244898
video_01_static_short,33,3,0.9634888438133874
video_01_static_short,33,1,0.9603324518322629
video_01_static_short,33,5,0.5161290322580645
video_01_static_short,33,2,0.9252717391304348
video_01_static_short,34,3,0.9530612244897959
video_01_static_short,34,1,0.9737342976779596
video_01_static_short,34,5,0.47692307692307695
video_01_static_short,34,2,0.9306122448979591
video_01_static_short,35,3,0.9510204081632653
video_01_static_short,35,1,0.9693955623565417
video_01_static_short,35,5,0.4782608695652174
video_01_static_short,35,2,0.9093333333333333
video_01_static_short,36,3,0.9582463465553236
video_01_static_short,36,1,0.9583969465648855
video_01_static_short,36,5,0.5
video_01_static_short,36,2,0.925575101488498
